T_soll [degC],T_ist_avg [degC],T_ist_std [degC],I [A],U_avg [mV],U_std [mV]
25.0,27.0,0.0,0.25,0.079829,0.000237
25.0,27.0,0.0,0.3,0.094092,0.000209
